token1	token2	token3	weight
жақсы	дем	ал	9
жақсы	дем	алып	5
жақсы	демалыс	болсын	2
жақсы	демалыс	болып	18
жақсы	демалыс	болды	17
жақсы	демалып	жатыр	17
жақсы	демалып	жатсың	18
жақсы	демалып	кел	18
жақсы	демалып	қайт	16
жақсы	демалып	жатырсың	18
жақсы	демалып	келіңдер	18
жақсы	демалып	жатырсыз	18
жақсы	демалып	қайтыңдар	11
жақсы	демалып	қайтыңыздар	18
жақсы	өтіп	жатыр	2
жақсы	болатын	еді	1
жақсы	көреміз	!	9
жақсы	көреміз	көп	4
жақсы	жетіп	ал	10
жақсы	жетіп	алдың	12
жақсы	жетіп	алыңыз	13
жақсы	жетіп	алыңдар	14
жақсы	жетіп	алдыңдар	13
жақсы	жолың	болсын	1
жақсы	болсаң	болды	3
жақсы	көрген	адам	8
жақсы	көрген	соң	11
жақсы	өздеріңіз	қалайсыздар	1
жақсы	болыпты	ғой	2
жақсы	көремін	!	13
жақсы	көремін	ғой	11
жақсы	көремін	жаным	7
жақсы	көремін	сені	13
жақсы	маман	иесі	2
жақсы	көресің	?	6
жақсы	жарайсың	жақсы	5
жақсы	жарайсың	жарайсың	4
жақсы	көретін	адам	10
жақсы	көреді	деп	10
жақсы	көреді	ғой	10
жақсы	көреді	екен	9
жақсы	өтсін	!	2
жақсы	отырыс	болсын	3
жақсы	отырыс	болды	9
жақсы	қыдырыс	болсын	1
де	сен	сұлу	3
де	сені	жақсы	5
де	құтты	болсын	5
де	құтты	жыл	5
де	қайырлы	түн	2
де	бәрі	жақсы	3
де	жаңа	жыл	3
де	жаңа	жылыңмен	9
де	жаңа	жылдарыңмен	13
де	ең	сұлу	1
де	жұғысты	болсын	1
деп	деп	деп	1
деп	жоқ	болып	6
деп	өзің	қалайсың	3
деп	жатыр	?	18
деп	жатыр	деп	17
деп	жатыр	ғой	10
деп	жатыр	екен	15
деп	жатыр	еді	9
деп	жатыр	едім	14
деп	жатыр	едің	16
деп	кім	айтты	3
деп	тұр	ғой	4
деп	тұр	екен	14
деп	айтып	жатыр	10
деп	айтып	еді	16
деп	айтып	жатырмын	15
деп	айтып	едім	15
деп	еді	ғой	5
деп	жатырмын	ғой	7
деп	жатырмын	өзің	10
деп	шығып	тұр	6
деп	жазып	жатыр	11
деп	жазып	жібердім	15
деп	жазып	жіберіпті	11
деп	едім	?	15
деп	едім	деп	17
деп	едім	ғой	9
деп	жүр	ғой	10
деп	жүр	еді	10
деп	жүр	едім	9
деп	сұрап	жатыр	4
деп	отыр	ғой	8
деп	отыр	еді	11
деп	отыр	едім	9
деп	отырмын	ғой	5
деп	айта	бер	14
деп	айта	алмай	13
деп	айта	алмаймын	9
деп	айтам	деп	5
деп	жатқан	жоқ	10
деп	жатқан	жоқпын	8
деп	қайта	қайта	1
деп	ойлап	едім	9
деп	ойлап	отыр	17
деп	ойлап	отырмын	9
деп	ойлап	жүрмін	16
деп	ұмытып	кетіппін	2
деп	тұрған	жоқпын	9
деп	айтты	деп	6
деп	айтты	ғой	12
деп	айттым	ғой	4
деп	жүріп	жатырмыз	3
деп	жылап	жатыр	5
деп	жазылып	тұр	3
деп	жүрмін	ғой	1
деп	айтайын	деп	6
деп	айтайын	десем	10
деп	айтайын	дегем	8
деп	айтады	деп	6
деп	едің	?	11
деп	едің	ғой	2
деп	ойланып	отырмын	5
деп	тұрмын	ғой	2
деп	айту	керек	3
деп	жазу	керек	2
деп	сұрайын	деп	6
деп	сұрайын	дегем	6
деп	тұрсың	ғой	3
деп	мәз	болып	3
деп	едіңіз	ғой	3
деп	ойлайсың	?	2
деп	есімнен	шығып	1
деп	жатқаным	ғой	3
деп	ойлағам	ғой	3
қалай	жақсы	болып	11
қалай	жақсы	демалып	13
қалай	бар	солай	1
қалай	болып	жатыр	2
қалай	болып	тұр	16
қалай	болды	?	2
қалай	екен	?	2
қалай	болса	солай	2
қалай	болад	екен	3
қалай	болады	?	8
қалай	болады	деп	15
қалай	болады	екен	4
қалай	аман	есен	2
қалай	боп	жатыр	2
қалай	бәрі	жақсы	4
қалай	ұйықтап	тұрдың	3
қалай	жағдай	?	5
қалай	жағдай	жақсы	13
қалай	жағдай	досым	11
қалай	жағдай	бауырым	16
қалай	жағдай	братан	24
қалай	жағдай	амансыңба	24
қалай	болар	екен	1
қалай	жүріп	жатыр	2
қалай	демалып	жатсың	13
қалай	демалып	жатырсың	10
қалай	демалып	жатырсыз	11
қалай	өтіп	жатыр	1
қалай	денсаулық	жақсыма	5
қалай	жақсыма	?	5
қалай	жақсыма	бәрі	11
қалай	алсам	болады	2
қалай	өсіп	жатырма	2
қалай	қарсы	алдың	5
қалай	қарсы	алдыңдар	4
қалай	алуға	болады	1
қалай	болдың	?	1
қалай	жағдайың	?	4
қалай	жағдайың	жақсыма	7
қалай	жағдайыңыз	?	4
қалай	жағдайыңыз	жақсыма	7
қалай	ойлайсың	?	2
қалай	қарайсың	?	2
қалай	жеттіңдер	?	1
қалай	білуге	болады	1
қалай	ұйықтадың	?	2
қалай	қарайсыз	?	1
қалай	өтуде	?	1
қалайсың	жақсы	шүкір	9
қалайсың	қалай	жағдай	3
қалайсың	қалайсың	қалайсың	1
қалайсың	жаным	?	6
қалайсың	жаным	менің	9
қалайсың	жаным	ау	16
қалайсың	шүкір	жақсы	2
қалайсың	құтты	болсын	1
қалайсың	қайырлы	күн	10
қалайсың	қайырлы	таң	4
қалайсың	жұмыс	қалай	3
қалайсың	аман	есен	2
қалайсың	туған	күніңмен	3
қалайсың	жаңа	жыл	4
қалайсың	жаңа	жылыңмен	5
қалайсың	дар	?	5
қалайсың	дар	қалайсың	33
қалайсың	дар	қыздар	9
қалайсың	дар	жігіттер	15
қалайсың	дар	амансыңдарма	13
қалайсың	брат	?	2
қалайсың	досым	?	5
қалайсың	туылған	күніңмен	3
қалайсың	бауырым	?	6
қалайсың	бауырым	амансыңба	5
қалайсың	братан	?	4
қалайсың	қалың	қалай	1
қалайсың	балам	?	3
қалайсың	денсаулық	қалай	4
қалайсың	денсаулық	жақсыма	6
қалайсың	амансыңба	?	9
қалайсың	амансыңба	денсаулық	4
қалайсың	сұлу	қыз	1
қалайсың	танысуға	болама	1
қалайсың	жағдайың	қалай	11
қалайсың	жағдайың	жақсыма	2
қалайсың	арын	қалайсың	1
сен	мен	үшін	5
сен	жақсы	көрем	8
сен	қалай	ойлайсың	5
сен	сен	сен	2
сен	ол	кезде	5
сен	неге	маған	13
сен	неге	мені	13
сен	неге	ұйықтамай	13
сен	маған	ренжіп	17
сен	маған	сеніп	17
сен	маған	керексің	13
сен	маған	ұнайсың	14
сен	мені	мен	18
сен	мені	жақсы	8
сен	мені	қалай	18
сен	мені	тастап	17
сен	менің	жан	15
сен	емес	мен	7
сен	аман	болш	2
сен	қашан	келесің	6
сен	қашан	шығасың	11
сен	қашан	қайтасың	13
сен	үшін	бәрін	15
сен	үшін	бәріне	16
сен	үшін	қуаныштымын	13
сен	қайда	тұрасың	8
сен	сіз	маған	1
сен	сияқты	емеспін	11
сен	келген	соң	3
сен	қайдасың	?	2
сен	нешеде	шығасың	4
сен	ең	күштісің	5
сен	келем	дегенше	3
сен	жүрсің	мүлде	1
сен	менім	жақын	1
сен	кімді	жақсы	2
сен	кімсің	?	4
сен	айтсаң	болды	2
сен	сұрағалы	жақсы	4
сен	сұрағалы	күшті	8
жоқ	деп	жатыр	11
жоқ	деп	отыр	14
жоқ	деп	айта	17
жоқ	деп	жауап	17
жоқ	жоқ	деп	19
жоқ	жоқ	жоқ	2
жоқ	жоқ	ал	19
жоқ	керек	емес	1
жоқ	ол	емес	11
жоқ	болып	тұр	9
жоқ	болып	кетті	12
жоқ	болып	кетіп	19
жоқ	болып	кеттің	9
жоқ	болды	ғой	4
жоқ	екен	деп	11
жоқ	екен	ғой	8
жоқ	болса	жоқ	11
жоқ	боп	тұр	10
жоқ	боп	кетті	11
жоқ	боп	кеттің	11
жоқ	еді	ғой	4
жоқ	бәрі	жақсы	4
жоқ	қой	менде	9
жоқ	сияқты	ғой	3
жоқ	болған	соң	2
жоқ	келген	жоқ	1
жоқ	тыныш	өзіңде	2
жоқ	олай	емес	3
бар	деп	жатыр	13
бар	деп	еді	15
бар	деп	едің	17
бар	ол	жақта	6
бар	екен	?	14
бар	екен	деп	13
бар	екен	ғой	6
бар	екен	соған	18
бар	болса	бар	17
бар	болса	маған	17
бар	болса	жіберші	15
бар	еді	?	17
бар	еді	деп	17
бар	еді	ғой	6
бар	еді	соған	17
бар	үйде	?	1
бар	аллаға	шүкір	1
бар	болу	керек	1
бар	жақсылықты	тілеймін	2
бар	жақсылықты	тілейміз	14
бар	жазамыз	!	1
бар	жақсылығын	тілеймін	2
бар	биологиядан	жіберіңдерш	1
бар	сызықтық	теңдеу	1
бол	бол	бол	2
бол	жаным	!	4
бол	шүкір	жақсы	3
бол	ауырма	аңсаған	2
бол	ауырма	сырқама	10
болсын	деп	тілеймін	11
болсын	бар	жақсылықты	1
болсын	жаны	жәннатта	1
болсын	жаным	!	7
болсын	жаным	менің	9
болсын	жаным	бақытты	13
болсын	құтты	болсын	1
болсын	алла	қаласа	12
болсын	алла	тағала	11
болсын	аман	болсын	15
болсын	аман	есен	3
болсын	ақ	жол	1
болсын	туған	күн	14
болсын	туған	күні	5
болсын	туған	күнің	8
болсын	екі	жас	3
болсын	жаңа	жыл	3
болсын	жаңа	жасың	16
болсын	жаңа	жылда	11
болсын	бақытты	бол	9
болсын	бақытты	болсын	8
болсын	бақытты	болыңдар	10
болсын	бақытты	болыңыз	18
болсын	бақытты	балалық	10
болсын	жатқан	жері	1
болсын	үлкен	қыз	15
болсын	үлкен	азамат	3
болсын	үлкен	азаматша	10
болсын	өмір	жасы	4
болсын	өмір	жасың	7
болсын	өмір	жасыңыз	14
болсын	туылған	күні	5
болсын	туылған	күнің	8
болсын	жана	жыл	2
болсын	бауы	берік	1
болсын	бауырым	!	3
болсын	зор	денсаулық	1
болсын	денсаулық	мықты	4
болсын	жасы	ұзақ	2
болсын	алланың	берген	4
болсын	көмек	қолын	1
болсын	жемісін	көр	9
болсын	жемісін	көре	7
болсын	жемісін	көрсін	9
болсын	денің	саулық	1
болсын	жастар	бақытты	2
болсын	денсаулығы	мықты	1
болсын	денсаулығың	мықты	1
болсын	өмірдегі	бар	6
болсын	өмірдегі	барлық	3
болсын	тілеген	дұға	3
болсын	тілеген	тілектерің	9
болсын	жастан	жасқа	1
болсын	биіктерден	көріне	2
болсын	жасына	жас	1
болсын	өсіріп	отырған	2
болсын	деніңе	саулық	1
болсын	жасыңа	жас	1
болсын	барыс	жылы	1
рахмет	жақсы	шүкір	6
рахмет	рахмет	рахмет	2
рахмет	керек	емес	1
рахмет	жаным	!	12
рахмет	жаным	менің	7
рахмет	жаным	алла	18
рахмет	жаным	көп	14
рахмет	жаным	айтқаның	18
рахмет	жаным	сағанда	17
рахмет	шүкір	жақсы	2
рахмет	өзің	қалайсың	2
рахмет	саған	да	7
рахмет	саған	көп	9
рахмет	алла	разы	1
рахмет	айтып	жатыр	1
рахмет	көп	!	22
рахмет	көп	көп	1
рахмет	өзіңіз	қалайсыз	1
рахмет	әумин	айтқаның	4
рахмет	бірге	болсын	1
рахмет	үлкен	!	4
рахмет	айтқаның	келсін	1
рахмет	сағанда	қайырлы	3
рахмет	жұғысты	болсын	1
рахмет	айтқаныңыз	келсін	1
керек	деп	жатыр	8
керек	болып	жатыр	9
керек	болып	тұр	3
керек	болып	жүр	23
керек	болып	тұрған	39
керек	болып	жатса	28
керек	болып	қалар	37
керек	болды	ғой	3
керек	екен	деп	11
керек	екен	ғой	7
керек	емес	мен	19
керек	емес	деп	12
керек	емес	!	33
керек	емес	сен	32
керек	емес	рахмет	19
керек	емес	ол	20
керек	емес	маған	13
керек	емес	болып	30
керек	емес	болды	21
керек	емес	екен	21
керек	емес	деген	31
керек	емес	болса	28
керек	емес	ау	30
керек	емес	еді	32
керек	емес	қой	31
керек	емес	ештеңе	32
керек	емес	сияқты	26
керек	емес	дейді	32
керек	болса	айт	12
керек	боп	жатыр	11
керек	боп	тұр	3
керек	еді	?	13
керек	еді	деп	13
керек	еді	ғой	13
керек	еді	бір	22
керек	еді	да	17
керек	еді	маған	19
керек	еді	негізі	17
керек	кезде	ғана	6
керек	болған	соң	4
керек	емеспа	?	2
керек	тегін	кімге	1
керек	пара	керек	1
ғой	деп	жатыр	11
ғой	жаным	менің	5
ғой	жаным	ау	6
ғой	да	?	1
ғой	сені	жаным	3
ғой	құтты	болсын	1
ғой	алла	қаласа	3
ғой	иә	?	1
жан	мен	сені	6
жан	мен	сізді	8
жан	жан	жан	1
жан	қайырлы	түн	2
жан	жүрегім	менің	1
жан	сізді	қатты	2
жан	жарым	менің	2
жан	алло	жан	1
жан	жұрттың	жеп	1
жаны	жәннатта	болсын	1
жаным	мен	сені	6
жаным	жақсы	көрем	10
жаным	жақсы	жатып	5
жаным	қалайсың	?	4
жаным	жаным	жаным	2
жаным	жаным	менің	15
жаным	жаным	жүрегім	34
жаным	өзің	қалайсың	1
жаным	менің	жаным	19
жаным	менің	сені	35
жаным	менің	жүрегім	3
жаным	менің	алтыным	27
жаным	менің	асылжан	18
жаным	сені	жақсы	9
жаным	сені	қатты	7
жаным	құтты	болсын	1
жаным	қайырлы	түн	3
жаным	қайырлы	таң	8
жаным	алла	разы	5
жаным	ас	болсын	1
жаным	көп	көп	2
жаным	ау	сен	13
жаным	ау	менің	9
жаным	аман	есен	4
жаным	бәрі	жақсы	2
жаным	туған	күнің	7
жаным	туған	күніңмен	4
жаным	қатты	қатты	5
жаным	жаңа	жыл	2
жаным	бақытты	бол	5
жаным	бақытты	болыңдар	8
жаным	жүрегім	менің	4
жаным	туылған	күнің	8
жаным	туылған	күніңмен	3
жаным	ашып	кетті	4
жаным	бауы	берік	1
жаным	айтқаның	келсін	1
шүкір	жақсы	жақсы	68
шүкір	жақсы	!	59
шүкір	жақсы	қалай	71
шүкір	жақсы	рахмет	23
шүкір	жақсы	жаным	51
шүкір	жақсы	шүкір	75
шүкір	жақсы	өзің	4
шүкір	жақсы	болып	71
шүкір	жақсы	алла	63
шүкір	жақсы	аман	32
шүкір	жақсы	бәрі	35
шүкір	жақсы	рақмет	14
шүкір	жақсы	үйде	76
шүкір	жақсы	аллаға	61
шүкір	жақсы	өзіңіз	10
шүкір	жақсы	өздерің	23
шүкір	жақсы	барлығы	72
шүкір	жақсы	өсіп	70
шүкір	жақсы	өздеріңіз	41
шүкір	жақсы	аманшылық	64
шүкір	жақсы	аманбыз	45
шүкір	шүкір	жақсы	4
шүкір	шүкір	шүкір	14
шүкір	шүкір	өзің	14
шүкір	шүкір	аллаға	15
шүкір	өзің	?	24
шүкір	өзің	қалай	34
шүкір	өзің	қалайсың	1
шүкір	алла	жақсы	16
шүкір	алла	деп	3
шүкір	алла	шүкір	15
шүкір	алла	өзің	15
шүкір	аман	есен	2
шүкір	аман	есенбіз	11
шүкір	бәрі	жақсы	2
шүкір	рақмет	өзің	6
шүкір	аллаға	жақсы	4
шүкір	аллаға	деп	40
шүкір	аллаға	!	41
шүкір	аллаға	рахмет	42
шүкір	аллаға	өзің	11
шүкір	аллаға	аман	23
шүкір	аллаға	бәрі	39
шүкір	аллаға	рақмет	37
шүкір	аллаға	аллаға	36
шүкір	аллаға	өзіңіз	18
шүкір	аллаға	өздерің	16
шүкір	аллаға	жақсымыз	21
шүкір	аллаға	аманбыз	33
шүкір	өзіңіз	?	23
шүкір	өзіңіз	қалайсыз	1
шүкір	өздерің	қалайсыңдар	1
шүкір	өсіп	жатырмыз	4
шүкір	жақсымын	рахмет	13
шүкір	жақсымын	өзің	6
шүкір	жақсымын	рақмет	9
шүкір	жақсымын	өзіңіз	11
шүкір	өздеріңіз	қалайсыздар	1
шүкір	жақсымыз	өздерің	8
шүкір	жақсымыз	өздеріңіз	10
бір	емес	екі	3
бір	адам	бар	7
бір	адам	керек	12
бір	алла	жар	6
бір	алла	біледі	9
бір	ай	болды	10
бір	ай	бұрын	11
бір	ай	бойы	10
бір	ақ	рет	5
бір	бала	бар	9
бір	күн	бұрын	11
бір	екі	күн	11
бір	екі	сағат	18
бір	екі	рет	13
бір	екі	күнде	10
бір	екі	күнге	19
бір	екі	күннен	20
бір	қыз	бар	8
бір	аллаға	тапсырдым	6
бір	қарап	өтеді	1
бір	сағат	болды	8
бір	досым	бар	1
бір	рет	болсын	11
бір	рет	қана	10
бір	өтініш	бар	10
бір	өтініш	болып	4
бір	жерге	барып	9
бір	жерге	кетіп	16
бір	жерге	баратын	18
бір	жерге	бару	16
бір	жағдай	болып	4
бір	жыл	болды	9
бір	жаққа	кетіп	9
бір	жігіт	сейфуллин	3
бір	жылап	алдым	4
бір	нәрсе	деп	21
бір	нәрсе	алып	19
бір	нәрсе	болып	21
бір	нәрсе	істеп	23
бір	нәрсе	болса	18
бір	нәрсе	айтам	19
бір	нәрсе	қылып	24
бір	нәрсе	айтайын	13
бір	нәрсе	айтсам	14
бір	нәрсе	сұрайын	18
бір	нәрсе	сұрасам	12
бір	орын	бар	6
бір	апта	болды	8
бір	жерден	көрген	7
бір	айдан	кейін	5
бір	алланың	қолында	4
бір	түрлі	болып	5
бір	түрлі	екен	12
бір	түрлі	боп	11
бір	сұрақ	қойсам	3
бір	ауыз	айтып	11
бір	ауыз	сөз	12
бір	ауыз	сөзің	10
бір	басың	екеу	1
бір	мүмкіндік	берші	2
бір	сағаттан	кейін	5
бір	сағаттан	соң	6
бір	бірімізді	жақсы	10
бір	жастықта	әдемі	14
бір	жастықта	қартайып	11
бір	жастықта	қартайыңдар	5
бір	жастықта	қартаюды	12
бір	жастықта	қартайыңыздар	12
бір	сөзбен	айтқанда	1
бір	аптадан	кейін	5
бір	мәнісі	болар	1
бір	өтінішім	бар	3
енді	мен	саған	10
енді	керек	емес	4
енді	саған	енді	4
енді	алла	қаласа	2
енді	көп	үлкен	1
енді	аман	есен	1
енді	қашан	келесің	8
енді	келіп	жатыр	6
енді	келе	жатыр	7
енді	келе	жатырмын	5
енді	бара	жатырмын	3
енді	шығып	жатыр	9
енді	шығып	жатырмын	6
енді	көріп	жатырмын	4
енді	келдім	үйге	4
енді	амал	жоқ	1
енді	тұрдым	ұйқыдан	6
енді	ұйықтайын	деп	1
енді	жатайын	деп	1
ол	мен	емес	7
ол	мен	үшін	7
ол	қалай	?	7
ол	қалай	болады	6
ол	бар	екен	4
ол	керек	емес	1
ол	да	бар	12
ол	да	бір	13
ол	да	дұрыс	14
ол	мені	жақсы	5
ол	кім	?	4
ол	сені	жақсы	4
ол	дұрыс	емес	1
ол	кезде	мен	11
ол	кезде	де	16
ол	кезде	сен	17
ол	қайда	?	5
ол	ұйықтап	жатыр	2
ол	жақта	да	13
ол	жағын	білмедім	7
өзі	көп	деген	1
өзі	жар	болсын	1
өзі	біледі	ғой	3
өзің	де	қалай	7
өзің	қалай	?	7
өзің	қалай	ойлайсың	10
өзің	қалайсың	?	3
өзің	қалайсың	жақсы	43
өзің	қалайсың	рахмет	50
өзің	қалайсың	жаным	12
өзің	қалайсың	брат	54
өзің	қалайсың	досым	19
өзің	қалайсың	бауырым	15
өзің	қалайсың	братан	44
өзің	қалайсың	амансыңба	53
өзің	қалайсың	тамыр	60
өзің	бара	бер	3
өзің	біл	енді	10
өзің	қайдасың	?	1
өзің	білесің	ғой	3
да	бар	екен	6
да	керек	емес	6
да	да	да	1
да	құтты	болсын	1
да	қайырлы	түн	2
да	келе	қоймайды	2
да	жаңа	жыл	1
да	оңай	емес	2
да	жұғысты	болсын	1
да	баянды	ғұмыр	3
неге	жоқ	болып	4
неге	неге	неге	2
неге	шығып	кеттің	5
неге	жауап	бермей	11
неге	жауап	бермейсің	4
неге	телефон	алмайсың	7
неге	олай	деп	17
неге	олай	болып	16
неге	олай	болды	17
неге	олай	айтып	17
неге	олай	дедің	16
неге	олай	дейсің	11
неге	олай	ойлайсың	15
неге	қайта	қайта	1
неге	екенін	білмеймін	3
неге	өшіріп	тастадың	2
неге	үндемей	қалдың	2
неге	ұйықтамай	жатырсың	3
неге	звандадың	?	1
неге	сұрадың	?	1
маған	керек	болып	10
маған	керек	емес	5
маған	керек	еді	13
маған	да	керек	11
маған	да	солай	15
маған	көп	салып	2
маған	ақша	керек	4
маған	бәрі	бір	1
маған	жазып	жатыр	6
маған	қатты	ұнады	8
маған	ешкім	керек	8
маған	ешкім	қарамайды	8
маған	өмір	жоқ	1
маған	қызық	емес	3
маған	лайк	басшы	4
маған	ренжіп	жүрсің	10
маған	ренжіп	қалдың	6
маған	тіркеліп	кетіңіздер	6
маған	сеніп	тұрған	1
маған	ұнайтын	бала	3
ал	мен	сені	11
ал	сен	маған	12
ал	керек	болса	2
ал	құтты	болсын	1
ал	ор	ал	1
ал	олардың	барлығы	1
ал	жамал	мүлде	1
алып	жатыр	екен	8
алып	кет	деп	4
алып	кетті	ғой	6
алып	кел	деп	5
алып	келе	жатыр	9
алып	келе	жатырмын	10
алып	бер	деп	4
алып	алу	керек	1
алып	кете	аласыз	12
алып	кетем	деп	7
алып	келем	деп	4
алып	бару	керек	1
алып	берейін	деп	3
алып	беру	керек	2
алып	қашып	кетті	11
алып	кету	керек	1
алып	келу	керек	1
алып	кетейін	деп	3
болып	жатыр	?	8
болып	жатыр	деп	18
болып	жатыр	ғой	11
болып	жатыр	екен	10
болып	жатыр	еді	14
болып	тұр	?	21
болып	тұр	ғой	6
болып	тұр	екен	17
болып	тұр	еді	9
болып	аман	есен	2
болып	кетті	деп	14
болып	кетті	ғой	4
болып	келе	жатыр	4
болып	бара	жатыр	4
болып	жүр	ғой	9
болып	отыр	ғой	3
болып	қалды	?	8
болып	қалды	деп	14
болып	қалды	ғой	8
болып	жатқан	жоқ	5
болып	жүре	бер	6
болып	жүре	берсін	8
болып	жүре	беріңіз	10
болып	кетеді	ғой	6
болып	кеттің	ғой	2
болып	кетіпті	ғой	2
болып	жатырма	?	1
болып	қалыпты	ғой	1
болып	тұрсың	ғой	2
болып	өсе	бер	12
