token1	token2	weight
мен	сөйлескен	132
мен	шатасып	125
мен	бәрінен	122
мен	шынымды	132
мен	көрмедім	120
мен	бармын	119
мен	аю	82
мен	сөлесіп	134
мен	ерігіп	116
мен	сабақта	122
мен	сабақтан	127
мен	жоқта	133
мен	кедергі	96
мен	барынша	130
мен	дәрігер	133
мен	ашам	86
мен	мамама	123
мен	жасадым	132
мен	танымаймын	133
мен	айтқанда	129
мен	дитін	126
мен	қәзір	133
мен	істедім	135
мен	қызыма	132
мен	сенсіз	131
мен	үшеуміз	119
мен	сөйлестім	127
мен	төлей	123
мен	астанадан	134
мен	қызымды	133
мен	сөйлескім	125
мен	таразда	131
мен	шымға	125
мен	жасты	130
мен	қалаған	132
мен	отпускаға	134
мен	байқамай	123
мен	білген	131
мен	бишара	130
мен	ойлағам	130
мен	танитын	111
мен	сіздердің	114
мен	төлеймін	131
мен	шешем	124
мен	лагерге	130
мен	олармен	126
мен	айтпадым	112
мен	ешкімнің	124
мен	бүгіннен	126
мен	жолдамын	135
мен	бойдақ	105
мен	жазғам	132
мен	айттымғо	134
мен	бармадым	133
мен	жатайын	117
мен	емесқо	126
мен	білдім	128
мен	түсімде	133
мен	пападан	132
мен	сөйлестің	131
мен	кіргенде	132
мен	танымайтын	124
мен	бұған	125
мен	екенімді	131
мен	сендерден	128
мен	шымкенттен	129
мен	ондайға	132
мен	шықпайтын	112
мен	кештеу	133
мен	мұнда	125
мен	телефонымды	134
мен	даладан	129
мен	барайынба	134
мен	кірсем	132
мен	ауылдамын	121
мен	шықпаймын	103
мен	жазғанда	110
мен	барамба	111
мен	өзімнен	129
мен	ренжіген	128
мен	бұрында	135
мен	сенікін	134
мен	болницада	123
мен	дайынмын	127
мен	қазақстанда	109
мен	айтқандай	133
мен	тіске	130
мен	қайттым	131
мен	автобуста	124
мен	декретке	134
мен	жазбасам	132
мен	ақтауда	88
мен	өмірімде	134
мен	өзіммен	123
мен	бармасам	133
мен	қызбын	119
мен	ешкімнен	111
мен	ойласам	125
мен	білмейтін	133
мен	барғанша	133
мен	вакцина	100
мен	олардан	129
мен	душтан	130
мен	жанадан	133
мен	болмасам	129
мен	боспын	101
мен	әженің	125
мен	келгелі	134
мен	ұйықтадым	129
мен	сіздерден	119
мен	сұрағанда	135
мен	қақтан	128
мен	кеткеннен	127
мен	болмаймын	132
мен	ренжімеймін	127
мен	қаладамын	123
мен	айтуым	108
мен	ешкімен	132
мен	сондаймын	131
мен	жумыстамын	112
мен	ұйқтаймын	120
мен	жазбадым	108
мен	айтпасам	127
мен	қазақпын	121
мен	ішпеймін	99
мен	ойнаймын	128
мен	әдебиеті	134
мен	естімедім	110
мен	ойнамаймын	131
мен	өзімдікін	121
мен	сенбеймін	120
мен	баралмаймын	135
мен	ұнатқан	115
мен	өлсем	129
мен	кіммін	114
мен	дикий	109
мен	кінәлімін	127
мен	бақыттымын	105
мен	ойлағандай	128
мен	алматыдамын	133
мен	осындамын	124
мен	жаманмын	132
мен	айлан	123
мен	ұлмын	112
мен	баралмайтын	129
мен	астанадамын	134
мен	мырзалар	128
мен	толағай	121
мен	еркекпін	131
мен	сәлемі	135
мен	іздемесем	130
мен	қайдамын	129
мен	қандаймын	130
мен	жатақхана	134
жақ	?	107
жақ	жақсы	23
жақ	деп	41
жақ	бер	39
жақ	тыныш	41
жақ	салқын	43
жақсы	?	42
жақсы	мен	106
жақсы	жақсы	78
жақсы	деп	40
жақсы	!	75
жақсы	қалай	81
жақсы	қалайсың	103
жақсы	сен	121
жақсы	жоқ	99
жақсы	бар	111
жақсы	бол	126
жақсы	болсын	109
жақсы	рахмет	65
жақсы	керек	43
жақсы	ғой	124
жақсы	жан	57
жақсы	жаным	99
жақсы	шүкір	59
жақсы	бір	11
жақсы	енді	93
жақсы	ол	101
жақсы	өзі	114
жақсы	өзің	122
жақсы	да	12
жақсы	неге	115
жақсы	маған	121
жақсы	алып	118
жақсы	болып	122
жақсы	сәлем	49
жақсы	аа	118
жақсы	болды	114
жақсы	екен	53
жақсы	осы	52
жақсы	менде	122
жақсы	ертең	100
жақсы	менің	92
жақсы	деген	128
жақсы	ем	108
жақсы	емес	115
жақсы	істеп	85
жақсы	кім	115
жақсы	мама	118
жақсы	құтты	104
жақсы	қайырлы	122
жақсы	адам	83
жақсы	ой	75
жақсы	саған	119
жақсы	бүгін	129
жақсы	болса	106
жақсы	дұрыс	64
жақсы	алла	120
жақсы	тұр	92
жақсы	ас	99
жақсы	болад	120
жақсы	болады	103
жақсы	айтып	48
жақсы	жұмыс	123
жақсы	көп	87
жақсы	барып	124
жақсы	жар	65
жақсы	жарайды	115
жақсы	ертен	84
жақсы	ау	119
жақсы	аман	130
жақсы	кеше	57
жақсы	ақ	118
жақсы	ақша	124
жақсы	боп	121
жақсы	аха	78
жақсы	қашан	109
жақсы	кешке	127
жақсы	еді	114
жақсы	бала	84
жақсы	бәрі	83
жақсы	күшті	63
жақсы	күн	113
жақсы	қазір	115
жақсы	қыз	94
жақсы	рақмет	74
жақсы	келіп	35
жақсы	келе	124
жақсы	үй	99
жақсы	үйде	127
жақсы	солай	98
жақсы	бара	128
жақсы	біз	107
жақсы	шығып	125
жақсы	жазып	121
жақсы	бірақ	130
жақсы	давай	106
жақсы	аллаға	97
жақсы	кетіп	62
жақсы	үйге	110
жақсы	өзіңіз	126
жақсы	жаман	20
жақсы	тамақ	118
жақсы	апа	121
жақсы	апай	117
жақсы	сіз	94
жақсы	папа	125
жақсы	қыздар	129
жақсы	көр	113
жақсы	көре	112
жақсы	көрем	92
жақсы	жүр	16
жақсы	бақытты	94
жақсы	ештеңе	130
жақсы	бұйырса	120
жақсы	отыр	112
жақсы	сияқты	126
жақсы	тез	91
жақсы	болған	127
жақсы	жасап	36
жақсы	көріп	129
жақсы	қызым	59
жақсы	брат	124
жақсы	иә	105
жақсы	жауап	120
жақсы	жаңалық	130
жақсы	ұйықта	81
жақсы	ұйықтап	86
жақсы	негізі	86
жақсы	айтам	113
жақсы	қарап	128
жақсы	машина	120
жақсы	жер	125
жақсы	жерде	105
жақсы	аға	130
жақсы	әдемі	109
жақсы	дейді	128
жақсы	тыныш	102
жақсы	қайдасың	120
жақсы	ат	126
жақсы	бізде	126
жақсы	дос	113
жақсы	досым	104
жақсы	ойнап	106
жақсы	жол	109
жақсы	керемет	112
жақсы	әңгіме	112
жақсы	өмір	118
жақсы	күтіп	111
жақсы	болмай	116
жақсы	жұмысқа	126
жақсы	сөйлесіп	116
жақсы	жерге	115
жақсы	жатып	118
жақсы	балдар	44
жақсы	бопты	127
жақсы	бауырым	76
жақсы	братан	110
жақсы	болар	111
жақсы	түс	46
жақсы	өздерің	99
жақсы	деді	56
жақсы	өте	112
жақсы	жұмыста	109
жақсы	ботам	109
жақсы	сөз	114
жақсы	дем	91
жақсы	демал	81
жақсы	демалыс	89
жақсы	жаққа	54
жақсы	жігіт	118
жақсы	хабар	88
жақсы	оқы	99
жақсы	оқып	117
жақсы	тәте	107
жақсы	жүріп	117
жақсы	нәрсе	98
жақсы	тате	97
жақсы	демалып	126
жақсы	балам	48
жақсы	өтіп	114
жақсы	сәттілік	91
жақсы	адамдар	117
жақсы	болу	99
жақсы	кішкене	117
жақсы	жүрсің	128
жақсы	болат	104
жақсы	болатын	116
жақсы	жазылып	93
жақсы	зат	127
жақсы	көреміз	126
жақсы	болдым	76
жақсы	әпше	120
жақсы	азамат	118
жақсы	келін	130
жақсы	ойын	109
жақсы	білем	124
жақсы	ағай	119
жақсы	өзін	127
жақсы	емеспа	100
жақсы	анашым	108
жақсы	жетіп	127
жақсы	көрді	65
жақсы	көрдім	126
жақсы	өзіңде	95
жақсы	барлығы	111
жақсы	көңіл	106
жақсы	жолың	103
жақсы	болсаң	113
жақсы	білесің	97
жақсы	өсіп	119
жақсы	көрген	104
жақсы	болсам	73
жақсы	қарсы	124
жақсы	қыдырып	122
жақсы	өздеріңіз	87
жақсы	болыпты	71
жақсы	жандар	70
жақсы	көремін	130
жақсы	болдың	47
жақсы	болыңыз	106
жақсы	әйел	129
жақсы	тапсырып	127
жақсы	болсан	126
жақсы	маман	121
жақсы	біледі	106
жақсы	көресің	116
жақсы	жолдарың	62
жақсы	көру	116
жақсы	болдыма	98
жақсы	өткізіп	114
жақсы	жағын	91
жақсы	жағынан	125
жақсы	аманшылық	96
жақсы	көрдің	101
жақсы	жарайсың	123
жақсы	көрсе	110
жақсы	араласып	92
жақсы	жеттің	107
жақсы	жайлап	115
жақсы	мекен	121
жақсы	жүрміз	120
жақсы	түсінікті	130
жақсы	түсіндім	117
жақсы	көрет	113
жақсы	көретін	98
жақсы	болдығо	61
жақсы	алхамдулиллах	119
жақсы	болайын	122
жақсы	жасайды	119
жақсы	істейді	128
жақсы	көреді	129
жақсы	сөздер	67
жақсы	өтсін	124
жақсы	көрсем	86
жақсы	идея	110
жақсы	аманбыз	122
жақсы	көруге	88
жақсы	отырыс	123
жақсы	білетін	85
жақсы	болғаны	120
жақсы	тілек	130
жақсы	мамандық	129
жақсы	жеттім	127
жақсы	күндер	128
жақсы	көргем	113
жақсы	жүрма	123
жақсы	жүрсіз	113
жақсы	әсер	115
жақсы	болдығой	126
жақсы	көрмей	120
жақсы	көрсең	120
жақсы	жүрсіңба	86
жақсы	күндерің	113
жақсы	үйдеміз	130
жақсы	көрмеген	127
жақсы	қарайды	128
жақсы	болдыңба	123
жақсы	жеттік	123
жақсы	жүрсіңдер	110
жақсы	тұрыңыз	128
жақсы	тойлап	122
жақсы	айтылған	107
жақсы	жеттіңдер	129
жақсы	түстер	118
жақсы	тәрбие	111
жақсы	ақырындап	128
жақсы	тілектер	118
жақсы	ойнайды	125
жақсы	жаңалықтар	129
жақсы	араласатын	107
жақсы	болсаңдар	122
жақсы	болсыншы	123
жақсы	адамсың	125
жақсы	болушы	122
жақсы	қызсың	112
жақсы	көресіз	121
жақсы	тұрыңдар	113
жақсы	көрсен	128
жақсы	нәтиже	103
жақсы	көресін	128
жақсы	ниетпен	108
жақсы	көремғо	120
жақсы	көресіңба	95
жақсы	шүкірміз	99
жақсы	көрмесем	124
жақсы	демалыңыз	109
жақсы	көмектеседі	99
жақсы	ниетте	123
жақсы	көрмейді	130
жақсы	көргеннен	112
жақсы	демалдың	120
жақсы	көрмейсің	116
жақсы	көрмейтін	109
жақсы	жүрсізба	120
жақсы	адамдарым	123
жақсы	қыдырыс	121
жақсы	көрмеймін	108
жақсы	күндерде	110
жақсы	көретінімді	110
жақсы	көргенім	98
жақсы	демалыңдар	115
жақсы	ұйықтаңыз	108
жақсы	талпын	124
жақсы	көрмесең	104
жақсы	көремғой	118
жақсы	күндерге	107
жақсы	көрема	124
жақсы	күндеріміз	118
жақсы	көргенің	129
жақсы	көргесін	126
жақсы	көретініңді	129
жақсы	көретің	117
жақсы	көретінін	123
жақсы	демалыңыздар	121
жақсы	жаңалықпен	119
жақсы	демалдыңба	126
де	?	129
де	мен	63
де	жақсы	57
де	де	46
де	деп	61
де	!	70
де	қалай	79
де	сен	70
де	жоқ	66
де	бар	43
де	рахмет	34
де	керек	66
де	ғой	63
де	жаным	82
де	шүкір	78
де	бір	88
де	енді	45
де	ол	75
де	өзі	77
де	өзің	92
де	да	89
де	маған	83
де	алып	73
де	болып	60
де	сәлем	92
де	болды	91
де	осы	76
де	менде	64
де	ерте	87
де	ертең	96
де	мені	86
де	менің	71
де	деген	82
